question,store,answer,contexts,server_elapsed_ms,client_elapsed_s,error,ground_truth
최대주주는 누구인가요?,opensearch,"최대주주는 정상수 의장입니다.  
근거: 참고 문서의 임원 현황 표 (2022.03.17 사업보고서 청크 323/335)","['감사위원 선임의 건 3. 이사보수한도 승인의 건 가결 정기 2017-03-24 1. 제16기 재무제표 승인의 건 2. 정관 일부 변경의 건 3. 이사 선임의 건 4. 이사보수한도 승인의 건 가결 정기 2018-03-30 1. 제17기 재무제표 승인의 건 2. 이사 선임의 건 3. 감사위원회 위원 선임의 건 4. 이사보수한도 승인의 건 가결 정기 2019-03-27 1. 제18기 재무제표 승인의 건 2. 정관 일부 변경의 건 3. 이사 선임의건 4. 감사위원회 위원 선임의 건 5. 이사보수한도 승인의 건 가결 임시 2019-05-29 1. 정관 일부 변경의 건 2. 이사 선임의 건 3. 감사위원회 위원 선임의 건 가결 정기 2020-03-25 1. 제19기 재무제표 승인의 건 2. 이사 선임의 건 3. 이사보수한도 승인의 건 4. 정관 일부 변경의 건 가결 정기 2021-03-26 1. 제20기 재무제표 승인의 건 2. 정관 일부 변경의 건 3. 임원퇴직금지급규정 변경의 건 4. 이사 선임의 건 5. 감사위원회 위원이 되는 사외이사 선임의 건 6. 이사보수한도 승인의 건 가결 전자공시시스템 dart.fss.or.kr Page 214 VII. 주주에 관한 사항 가. 최대주주 및 특수관계인에 관한 사항 당사의 최대주주는 정상수 의장으로 본 보고서 제출 기준일 현재 정상수 의장과 특수관계인 이 39.82%를 보유하고 있습니다. 최대주주 및 특수관계인의 주식소유 현황 나. 최대주주의 주요경력 및 개요 다.', '최대주주의 주요경력 및 개요 다. 주식 소유현황 (기준일 : 2021.12.31 ) (단위 : 주, %) 성 명 관 계 주식의 종류 소유주식수 및 지분율 비고기 초 기 말 주식수 지분율 주식수 지분율 정상수 본인 보통주 3,561,373 35.56 3,561,373 35.22 - 강기석 임원 보통주 384,390 3.84 384,390 3.80 - 백승걸 임원 보통주 50,000 0.50 50,000 0.49 - 박필현 친인척 보통주 10,000 0.10 10,000 0.10 - 정래승 친인척 보통주 10,000 0.10 10,000 0.10 - 정유진 친인척 보통주 10,000 0.10 10,000 0.10 - 배하석 임원 보통주 1,397 0.01 1,397 0.01 - 계 보통주 4,027,160 40.21 4,027,160 39.82 - 우선주 - - - - - 대주주 구분 성명 직책명 약 력 경력사항 겸임현황 개인 정상수 이사회 의장 1993.12~현재 - 중앙대학교 약학 - 前 ㈜ 바이오사포젠 대표이사 - 前 ㈜ 파마헬스케어 사내이사 - 前 ㈜ 파마엠디 대표이사 - 前 ㈜ 파마리서치 대표이사 - 現 ㈜ 파마리서치바이오 이사회 의장 - 現 ㈜ 파마리서치 이사회 의장 ㈜ 파마리서치바이오 사내이사 (기준일 : 2021.12.31 ) (단위 : 주) 구분 주주명 소유주식수 지분율(%) 비고 5% 이상 주주 정상수 3,561,373 35.70 최대주주 국민연금공단 611,298 6.13 - 전자공시시스템 dart.fss.or.kr Page 215 ※ 지분율은 기준일 현재 의결권 있는 주식 기준으로 산정하였습니다. 소액주주현황 라.']",28031,28.04,,
최대주주는 누구인가요?,pgvector,"최대주주는 **정상수 의장**입니다. 참고 문서에 따르면, 보고서 제출 기준일 현재 정상수 의장과 특수관계인은 총 39.82%의 주식을 보유하고 있습니다. 이는 파마리서치 2022년 3월 17일 제출한 사업보고서에서 명시된 내용입니다.",['[[파마리서치]사업보고서2022.03.17.pdf] 감사위원 선임의 건 3. 이사보수한도 승인의 건 가결 정기 2017-03-24 1. 제16기 재무제표 승인의 건 2. 정관 일부 변경의 건 3. 이사 선임의 건 4. 이사보수한도 승인의 건 가결 정기 2018-03-30 1. 제17기 재무제표 승인의 건 2. 이사 선임의 건 3. 감사위원회 위원 선임의 건 4. 이사보수한도 승인의 건 가결 정기 2019-03-27 1. 제18기 재무제표 승인의 건 2. 정관 일부 변경의 건 3. 이사 선임의건 4. 감사위원회 위원 선임의 건 5. 이사보수한도 승인의 건 가결 임시 2019-05-29 1. 정관 일부 변경의 건 2. 이사 선임의 건 3. 감사위원회 위원 선임의 건 가결 정기 2020-03-25 1. 제19기 재무제표 승인의 건 2. 이사 선임의 건 3. 이사보수한도 승인의 건 4. 정관 일부 변경의 건 가결 정기 2021-03-26 1. 제20기 재무제표 승인의 건 2. 정관 일부 변경의 건 3. 임원퇴직금지급규정 변경의 건 4. 이사 선임의 건 5. 감사위원회 위원이 되는 사외이사 선임의 건 6. 이사보수한도 승인의 건 가결 전자공시시스템 dart.fss.or.kr Page 214 VII. 주주에 관한 사항 가. 최대주주 및 특수관계인에 관한 사항 당사의 최대주주는 정상수 의장으로 본 보고서 제출 기준일 현재 정상수 의장과 특수관계인 이 39.82%를 보유하고 있습니다. 최대주주 및 특수관계인의 주식소유 현황 나. 최대주주의 주요경력 및 개요 다.'],18656,18.67,,
회사의 연구개발비 지출 규모는 어느 정도인가요?,opensearch,회사 이름이 명시되지 않았습니다. 따라서 특정 회사의 R&D 지출 규모를 정확히 알려드릴 수 없습니다. 만약 특정 회사의 이름을 알려주시면 도와드리겠습니다.,[],18776,18.8,,
회사의 연구개발비 지출 규모는 어느 정도인가요?,pgvector,"회사명을 알려주시면 정확한 R&D 지출 규모를 알려드릴 수 있습니다. 예를 들어, 삼성전자는 2022년 기준 연간 약 200억 달러 규모의 R&D 비용을 지출하고 있습니다. 다른 회사의 경우는 회사의 규모와 산업 분야에 따라 차이가 있으므로, 구체적인 회사명을 알려주시면 더 정확한 정보를 제공할 수 있습니다.",[],34510,34.53,,
오늘 서울 날씨는 어때?,opensearch,현재 서울의 날씨 정보를 실시간으로 확인할 수 없습니다.,[],29435,29.46,,
오늘 서울 날씨는 어때?,pgvector,"현재 서울의 실시간 날씨 정보를 확인할 수 없습니다. 오늘 서울 날씨는 일반적으로 20~25도로 온도가 상승하고 있습니다. 구름이 많아 보이면, 실시간으로 최신 정보를 확인하시기 바랍니다. 네이버 클리어, 한국 날씨 앱 또는 웹사이트에서 정확한 날씨를 확인해 보세요.",[],24228,24.25,,
회사의 임직원 수는 몇 명인가요?,opensearch,"회사의 임직원 수는 270명입니다.  
근거: 참고 문서의 검색된 5건에서 제시된 '회사의 임직원 수는 270명입니다' 답변 및 사업부문별 성별 직원 수 표(의약품 남 174명/여 89명)","[""아울러 System.out 직접 호출 대신 SLF4J Logger 사용으로 전환하여 Spring Boot 프로젝트의 일반적인 로깅 관례에 맞춤 27.7 최종 검증 성공 모든 개선(목차 필터, 임계값 0.25, OCR 보완) 적용 후 langchain_rag_demo.py로 '회사의 임직원 수는 몇 명인가요?' 재질의. 검색된 5건이 모두 임계값을 통과했고, 답변이 '회사의 임직원 수는 270명입니다'로 정확한 수치와 근거(사업부문별 성별 직원 수 표, 의약품 남 174명/여 89명)를 함께 제시함을 확인 이로써 pgvector 경로의 청킹-필터링-OCR-임계값 파이프라인 전체가 실제 표 데이터 질의에 대해서도 정확하게 동작함을 최종 검증 27.8 보류된 로드맵: 프롬프트 개선 및 QLoRA 파인튜닝 계획 할루시네이션 억제를 위한 개선된 프롬프트(문서 근거 명시, 정보 없을 시 명확히 밝히기, 답변 근거 한 줄 요약 규칙 포함)를 설계함. RagService/PgVectorRagService 양쪽에 적용 후 collect_results.py + evaluate_ragas.py로 기존 baseline과 A/B 비교하는 절차까지 계획했으나, 이번 세션에서는 Ollama 모델 유실 이슈 대응이 우선되어 실제 적용/비교는 미착수 상태로 보류 로컬 GPU(8GB VRAM) 제약을 고려해 QLoRA(4비트 양자화 + LoRA) 기반 파인튜닝 로드맵을 수립.""]",28077,28.1,,
회사의 임직원 수는 몇 명인가요?,pgvector,회사의 이름을 알려주시면 더 정확한 정보를 제공할 수 있습니다. 현재 질문에 대한 구체적인 회사명이 없어 정확한 임직원 수를 알려드릴 수 없습니다. 일반적으로 회사의 웹사이트나 공식 보고서에서 임직원 수를 확인할 수 있습니다. 추가 정보를 알려주시면 도와드리겠습니다.,[],20237,20.24,,
파이썬으로 피보나치 수열을 구하는 방법을 알려줘,opensearch,"피보나치 수열을 파이썬으로 구하는 방법은 다음과 같습니다.

1. 첫 번째 두 수를 0과 1로 초기화합니다.
2. 반복문을 사용하여 다음 수를 계산하고 수열에 추가합니다.

예시 코드:

n = 10  # 10개의 피보나치 수를 구할 때

fib_sequence = [0, 1]
for i in range(2, n):
    fib_sequence.append(fib_sequence[-1] + fib_sequence[-2])

print(fib_sequence)

이 코드는 n개의 피보나치 수열을 반환합니다. 예를 들어, n=10일 때 [0, 1, 1, 2, 3, 5, 8, 13, 21, 34]가 출력됩니다.",[],49191,49.21,,
파이썬으로 피보나치 수열을 구하는 방법을 알려줘,pgvector,"파이썬으로 피보나치 수열을 구하는 가장 간단하고 효율적인 방법은 **반복문을 사용한 이터ative 접근**입니다. 다음은 10개의 피보나치 수를 구하는 예시 코드입니다.

```python
def fibonacci_sequence(n_terms):
    if n_terms <= 0:
        return []
    elif n_terms == 1:
        return [0]
    fib = [0, 1]
    for _ in range(2, n_terms):
        fib.append(fib[-1] + fib[-2])
    return fib

# 예시: 10개의 피보나치 수열 출력
print(fibonacci_sequence(10))
```

**출력 결과**:  
`[0, 1, 1, 2, 3, 5, 8, 13, 21, 34]`

---

### 🔍 설명
1. **기본 케이스 처리**:
   - `n_terms <= 0` → 빈 리스트 반환
   - `n_terms == 1` → `[0]` 반환

2. **반복문으로 수열 생성**:
   - 초기값: `[0, 1]`
   - `for _ in range(2, n_terms)` → `n_terms-2`번 반복
   - 각 반복에서 마지막 2개 수를 더해 다음 수를 추가

3. **효율성**:
   - 재귀 방식보다 **O(n)** 시간 복잡도로 효율적 (재귀는 O(2^n)으로 비효율적)

---

### 💡 추가 정보
- **n번째 피보나치 수만 구하려면**:
  ```python
  def fibonacci_nth(n):
      a, b = 0, 1
      for _ in range(n):
          a, b = b, a + b
      return a
  ```
  예: `fibonacci_nth(5)` → `5` (0-based indexing)

이 방법은 대부분의 경우에서 최적화된 피보나치 수열 계산에 사용됩니다. 🐍",[],58048,58.06,,
